"layer_14","Fjordlinjer punkt - Kysttorskregulering"
"layer_15","Fjordlinjer - Kysttorskregulering"
"layer_18","Alle lokaliteter"
"layer_45","Laksefjorder"
"layer_46","Gyteområder"
"layer_92","Lokalitet - flate fra klarerte ytterpunkt"
"layer_115","Oppvekst - beiteområde"
"layer_116","Skjellforekomst"
"layer_125","Biomasse (Ja/Nei)"
"layer_174","Korallrev - forbudsområde"
"layer_213","Fiskeridirektoratets kontor"
"layer_224","Lokalitet - klarerte ytterpunkt"
"layer_225","Torsk"
"layer_229","Laks, ørret, regnbueørret"
"layer_230","Slaktemerd"
"layer_245","MOM B Miljøtilstand"
"layer_246","Kamskjell"
"layer_251","Settefisk"
"layer_253","Blåskjell"
"layer_256","Kaier"
"layer_262","Hummer - Fredningsområder"
"layer_263","Lokaliteter i sjø"
"layer_266","Kongekrabbe regulering"
"layer_277","Stamfisk"
"layer_314","Kveite"
"layer_315","Østers"
"layer_316","Hummer"
"layer_357","Turistfiskebedrifter"
"layer_377","Visning"
"layer_407","Verneområde - bunnhabitat"
"layer_422","Bevaringssoner"
"layer_445","Tare - høstefelt"
"layer_460","MOM C Miljøundersøkelser"
"layer_462","Gyte- og beiteområde"
"layer_471","Andre Miljøundersøkelser"
"layer_491","Fiskeplasser - Aktive redskap"
"layer_493","Statistikk - hovedområder"
"layer_494","Statistikk - lokasjoner"
"layer_495","Gytefelt torsk MB"
"layer_553","Alle lokaliteter m/ innehaver"
"layer_562","PD"
"layer_563","ILA"
"layer_564","Strandsoneundersøkelser"
"layer_566","TEST MOM B Miljøtilstand"
"layer_567","TEST MOM C Miljøundersøkelser"
"layer_568","TEST Andre Miljøundersøkelser"
"layer_569","TEST Strandsoneundersøkelser"
"layer_571","TEST Alle miljøundersøkelser"
"layer_573","TEST2 MOM B Miljøtilstand"
"layer_574","TEST2 Alle miljøundersøkelser"
"layer_578","Grønne lokaliteter"
"layer_587","Fiskeplasser - Passive redskap"
"layer_588","Låssettingsplasser"
